"Table 4a. Completed primary immunisations in children aged 12 months in England by upper tier local authority (UTLA), percentage",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,
[z] not applicable,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 12 months,Coverage at 12 months DTaP/IPV/Hib/HepB (%),Coverage at 12 months PCV1 (%),Coverage at 12 months rota (%),Coverage at 12 months MenB (%)
E92000001,[z],England,[z],[note 23],"573,740",91.3,93.1,88.8,91
E12000004,[z],East Midlands,[z],[z],46664,93.2,95,90.7,92.9
E10000019,Lincolnshire,East Midlands,503,[z],6150,93,95.1,91.3,92.7
E10000007,Derbyshire,East Midlands,506,[z],6861,95.9,97.1,94.3,96.1
E06000015,Derby,East Midlands,507,[z],3213,92.7,94.6,89.8,92.1
E10000018,Leicestershire,East Midlands,508,[note 19],6829,95,96.1,92.6,94.8
E06000016,Leicester,East Midlands,509,[z],4405,91.4,93.8,85.5,90.2
E10000024,Nottinghamshire,East Midlands,511,[z],7586,94.3,95.8,91.9,93.9
E06000018,Nottingham,East Midlands,512,[z],3400,86.8,90.6,83.8,86.5
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],4474,92.1,94.1,90.1,91.9
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],3746,93.3,94.4,91.5,93
E12000006,[z],East of England,[z],[z],64080,91.9,94.2,89.8,92
E10000015,Hertfordshire,East of England,606,[z],12741,91.6,93.8,90.4,91.9
E10000020,Norfolk,East of England,607,[z],7262,93.7,95.3,91,93.5
E10000029,Suffolk,East of England,609,[z],6541,93.8,95.5,91.7,93.8
E06000032,Luton,East of England,611,[z],3733,88.9,91.3,84.6,88.4
E10000012,Essex,East of England,620,[z],15366,91.1,94,89.4,91.6
E06000033,Southend-on-Sea,East of England,621,[z],1776,90.4,93.9,89.2,90.8
E06000034,Thurrock,East of England,622,[z],2133,89.9,92,86.8,89.9
E10000003,Cambridgeshire,East of England,623,[z],6555,94.2,96,92.2,93.9
E06000031,Peterborough,East of England,624,[z],2444,87.9,90.8,82.7,87.5
E06000055,Bedford,East of England,625,[z],2142,92.3,93.9,89.7,92.3
