"Table 4b. Completed primary immunisations in children aged 12 months in England by upper tier local authority (UTLA), number",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,
[z] not applicable,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 12 months,Number aged 12 months vaccinated DTaP/IPV/Hib/HepB,Number aged 12 months vaccinated PCV1,Number aged 12 months vaccinated rota,Number aged 12 months vaccinated MenB
E92000001,[z],England,[z],[note 23],"573,740","524,059","534,129","509,472","521,950"
E12000004,[z],East Midlands,[z],[z],46664,43514,44339,42339,43360
E10000019,Lincolnshire,East Midlands,503,[z],6150,5717,5847,5612,5702
E10000007,Derbyshire,East Midlands,506,[z],6861,6580,6659,6467,6595
E06000015,Derby,East Midlands,507,[z],3213,2979,3038,2884,2958
E10000018,Leicestershire,East Midlands,508,[note 19],6829,6488,6562,6327,6471
E06000016,Leicester,East Midlands,509,[z],4405,4027,4132,3767,3973
E10000024,Nottinghamshire,East Midlands,511,[z],7586,7156,7270,6973,7126
E06000018,Nottingham,East Midlands,512,[z],3400,2951,3081,2850,2942
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],4474,4120,4212,4033,4110
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],3746,3496,3538,3426,3483
E12000006,[z],East of England,[z],[z],64080,58889,60334,57548,58953
E10000015,Hertfordshire,East of England,606,[z],12741,11666,11954,11521,11704
E10000020,Norfolk,East of England,607,[z],7262,6801,6920,6612,6792
E10000029,Suffolk,East of England,609,[z],6541,6136,6246,6001,6137
E06000032,Luton,East of England,611,[z],3733,3317,3409,3159,3300
E10000012,Essex,East of England,620,[z],15366,14001,14444,13737,14078
E06000033,Southend-on-Sea,East of England,621,[z],1776,1605,1668,1584,1612
E06000034,Thurrock,East of England,622,[z],2133,1917,1963,1851,1917
E10000003,Cambridgeshire,East of England,623,[z],6555,6178,6293,6044,6158
E06000031,Peterborough,East of England,624,[z],2444,2149,2219,2020,2139
E06000055,Bedford,East of England,625,[z],2142,1977,2011,1922,1976
E06000056,Central Bedfordshire,East of England,626,[z],3387,3142,3207,3097,3140
E12000007,[z],London,[z],[note 23],103581,89431,91144,86881,88595
