"Table 5a. Completed primary immunisations in children aged 24 months in England by upper tier local authority (UTLA), percentage",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 24 months,Coverage at 24 months DTaP/IPV/Hib/HepB Prim (%),Coverage at 24 months MMR1 (%),Coverage at 24 months Hib/MenC booster (%),Coverage at 24 months PCV booster (%),Coverage at 24 months MenB booster (%)
E92000001,[z],England,[z],[note 23],"591,605",92.5,88.9,88.6,88,87.3
E12000004,[z],East Midlands,[z],[z],48773,94,90.7,90.5,90.1,89.6
E10000019,Lincolnshire,East Midlands,503,[z],6699,93.2,90.3,89.7,89.9,89.2
E10000007,Derbyshire,East Midlands,506,[z],7180,97.1,95.5,95.5,95.5,95.2
E06000015,Derby,East Midlands,507,[z],3325,94,89,88.7,87.8,87.3
E10000018,Leicestershire,East Midlands,508,[note 19],7211,95.8,94.1,93.9,93.6,93.1
E06000016,Leicester,East Midlands,509,[z],4334,93,88.4,88.1,86.2,86
E10000024,Nottinghamshire,East Midlands,511,[z],7835,94.8,91.8,91.5,91.6,90.8
E06000018,Nottingham,East Midlands,512,[z],3448,87.9,81.9,81.8,81.3,80.2
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],4713,91.6,86.7,86.3,85.6,85.5
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],4028,94,90.9,91.1,90.6,90.3
E12000006,[z],East of England,[z],[z],65689,93.5,90.8,91.3,90.2,88.7
E10000015,Hertfordshire,East of England,606,[z],12904,92.3,89.8,90.5,89.8,88.1
E10000020,Norfolk,East of England,607,[z],7654,95.4,93.5,93.7,92.7,91.3
E10000029,Suffolk,East of England,609,[z],6998,95.4,93.6,94,93.1,91.9
E06000032,Luton,East of England,611,[z],3592,88.3,84.5,85.1,82,78.5
E10000012,Essex,East of England,620,[z],15824,94,90.8,91.2,90.2,89.2
E06000033,Southend-on-Sea,East of England,621,[z],1858,93.1,91,91.7,90.2,89.1
E06000034,Thurrock,East of England,622,[z],2208,90.4,84.7,86,84.6,83.7
