"Table 5b. Completed primary immunisations in children aged 24 months in England by upper tier local authority (UTLA), number",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 24 months,Number aged 24 months vaccinated DTaP/IPV/Hib/HepB Prim vaccinated,Number aged 24 months vaccinated MMR1,Number aged 24 months vaccinated Hib/MenC booster,Number aged 24 months vaccinated PCV booster,Number aged 24 months vaccinated MenB booster
E92000001,[z],England,[z],[note 23],591605,547129,525770,524056,520832,516639
E12000004,[z],East Midlands,[z],[z],48773,45833,44238,44130,43948,43702
E10000019,Lincolnshire,East Midlands,503,[z],6699,6241,6047,6008,6021,5974
E10000007,Derbyshire,East Midlands,506,[z],7180,6972,6857,6855,6859,6837
E06000015,Derby,East Midlands,507,[z],3325,3124,2960,2950,2919,2904
E10000018,Leicestershire,East Midlands,508,[note 19],7211,6907,6782,6774,6753,6713
E06000016,Leicester,East Midlands,509,[z],4334,4031,3832,3818,3735,3726
E10000024,Nottinghamshire,East Midlands,511,[z],7835,7425,7191,7170,7173,7118
E06000018,Nottingham,East Midlands,512,[z],3448,3030,2825,2819,2802,2765
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],4713,4317,4084,4068,4036,4028
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],4028,3786,3660,3668,3650,3637
E12000006,[z],East of England,[z],[z],65689,61399,59642,59963,59243,58245
E10000015,Hertfordshire,East of England,606,[z],12904,11906,11586,11680,11592,11363
E10000020,Norfolk,East of England,607,[z],7654,7301,7158,7168,7093,6986
E10000029,Suffolk,East of England,609,[z],6998,6677,6553,6577,6514,6428
E06000032,Luton,East of England,611,[z],3592,3171,3034,3055,2946,2820
E10000012,Essex,East of England,620,[z],15824,14867,14365,14427,14276,14108
E06000033,Southend-on-Sea,East of England,621,[z],1858,1729,1691,1703,1675,1655
E06000034,Thurrock,East of England,622,[z],2208,1997,1870,1899,1869,1848
E10000003,Cambridgeshire,East of England,623,[z],6669,6383,6254,6272,6208,6109
E06000031,Peterborough,East of England,624,[z],2506,2254,2132,2163,2092,2028
