"Table 6a. Completed primary immunisations in children aged 5 years in England by upper tier local authority (UTLA), percentage",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 5 years,Coverage at 5 years DTaP/IPV/Hib/HepB Prim (%),Coverage at 5 years MMR1 (%),Coverage at 5 years dTaP/IPV booster (%),Coverage at 5 years Hib/MenC booster (%),Coverage at 5 years MMR2 (%)
E92000001,[z],England,[z],[note 23],657098,92.8,91.8,81.3,88.9,83.7
E12000004,[z],East Midlands,[z],[z],54451,94.1,93.1,83.1,87.7,85.1
E10000019,Lincolnshire,East Midlands,503,[z],7692,93.2,92.5,82.4,87.5,84
E10000007,Derbyshire,East Midlands,506,[z],7708,97.2,96.9,91.3,94.7,92
E06000015,Derby,East Midlands,507,[z],3505,92,90.2,77.9,82.3,80.2
E10000018,Leicestershire,East Midlands,508,[note 19],7961,97,96.2,88.8,92.7,91
E06000016,Leicester,East Midlands,509,[z],5004,94.1,91.5,77.8,80.5,81.2
E10000024,Nottinghamshire,East Midlands,511,[z],8833,94.8,93.8,84.3,89.4,86.1
E06000018,Nottingham,East Midlands,512,[z],4076,86.8,86.4,68.2,76.6,71.7
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],5095,92.3,91,81.2,85.8,82.5
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],4577,93.7,92.7,84.1,88.2,85.8
E12000006,[z],East of England,[z],[z],72809,93.9,93.8,86.1,90.4,87.7
E10000015,Hertfordshire,East of England,606,[z],14323,92.9,93.6,85.3,90.8,87.7
E10000020,Norfolk,East of England,607,[z],8508,95.9,95.6,88.8,92.4,90.4
E10000029,Suffolk,East of England,609,[z],7747,96.3,95.6,90.4,92.9,91.4
E06000032,Luton,East of England,611,[z],3853,86.6,86.9,74.5,79.6,77.2
E10000012,Essex,East of England,620,[z],17434,95,94.4,87,91.7,88.1
E06000033,Southend-on-Sea,East of England,621,[z],2053,93.1,92.8,84,88.1,85.6
E06000034,Thurrock,East of England,622,[z],2533,94,92.1,81.6,88.2,82.9
