"Table 6b. Completed primary immunisations in children aged 5 years in England by upper tier local authority (UTLA), number",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 5 years,Number aged 5 years vaccinated DTaP/IPV/Hib/HepB Prim vaccinated,Number aged 5 years vaccinated MMR1,Number aged 5 years vaccinated DTaP/IPV booster,Number aged 5 years vaccinated Hib/MenC booster,Number aged 5 years vaccinated MMR2
E92000001,[z],England,[z],[note 23],657098,609555,603451,534292,584158,549858
E12000004,[z],East Midlands,[z],[z],54451,51221,50675,45276,47745,46325
E10000019,Lincolnshire,East Midlands,503,[z],7692,7170,7117,6340,6729,6461
E10000007,Derbyshire,East Midlands,506,[z],7708,7494,7466,7039,7296,7089
E06000015,Derby,East Midlands,507,[z],3505,3224,3163,2730,2886,2810
E10000018,Leicestershire,East Midlands,508,[note 19],7961,7723,7662,7067,7380,7245
E06000016,Leicester,East Midlands,509,[z],5004,4710,4579,3892,4027,4062
E10000024,Nottinghamshire,East Midlands,511,[z],8833,8371,8287,7442,7898,7608
E06000018,Nottingham,East Midlands,512,[z],4076,3537,3522,2781,3122,2921
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],5095,4705,4637,4135,4370,4201
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],4577,4287,4242,3850,4037,3928
E12000006,[z],East of England,[z],[z],72809,68403,68271,62672,65844,63889
E10000015,Hertfordshire,East of England,606,[z],14323,13309,13401,12217,13005,12566
E10000020,Norfolk,East of England,607,[z],8508,8163,8130,7553,7860,7689
E10000029,Suffolk,East of England,609,[z],7747,7461,7410,7004,7200,7083
E06000032,Luton,East of England,611,[z],3853,3338,3347,2869,3067,2975
E10000012,Essex,East of England,620,[z],17434,16558,16452,15172,15994,15362
E06000033,Southend-on-Sea,East of England,621,[z],2053,1911,1905,1725,1808,1758
E06000034,Thurrock,East of England,622,[z],2533,2382,2332,2067,2233,2101
E10000003,Cambridgeshire,East of England,623,[z],7583,7241,7250,6741,6983,6890
E06000031,Peterborough,East of England,624,[z],2892,2567,2552,2271,2373,2307
