Table 8. BCG vaccine coverage in eligible children aged 3 months and 12 months in England by upper tier local authority (UTLA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
This worksheet contains one table. Some cells may refer to notes which can be found on the Notes worksheet.,,,,,,,,,,
[c] Some figures have been suppressed due to potential disclosure issues associated with small numbers.,,,,,,,,,,
[z] not applicable,,,,,,,,,,
[note 18],City of London is included in Hackney.,,,,,,,,,
[note 19],Isles of Scilly is included in Cornwall.,,,,,,,,,
[note 20],Rutland is included in Leicestershire.,,,,,,,,,
[note 23],"Please note that system changes in 14 UTLAs in London earlier this year, as well as changes to the way multiple dose courses are calculated, mean that the coverage in London for some vaccines, particularly the pre-school (dTaP/IPV) booster and MMR2 is likely to be underestimated. Reported falls in coverage in these vaccines in the current year should not be used for local vaccination performance management or in isolation to direct public health action. Please see the data sources and methodology section for more information. Additionally, until data on children not registered with a GP can be validated, only children registered with a GP are included in the London-, England-, and UK-level figures. The affected UTLAs are Greenwich, Hammersmith and Fulham, Kensington and Chelsea, Lambeth, Lewisham, Southwark, Westminster, Bexley, Brent, Bromley, Ealing, Harrow, Hillingdon, and Hounslow. Coverage in these UTLAs will be higher than coverage measured when including the unregistered population. However, these coverage estimates will more closely reflect the true coverage in the population until the data on children not registered with a GP is fully validated.",,,,,,,,,
Code,Local authority,Region name,Organisation Data Service code,Note,Number aged 3 months eligible BCG,Number aged 3 months vaccinated BCG,Coverage at 3 months BCG (%),Number aged 12 months vaccinated BCG,Number aged 12 months eligible BCG,Coverage at 12 months BCG (%)
E92000001,[z],England,[z],[note 23],185100,144638,78.1,145686,171980,84.7
E12000004,[z],East Midlands,[z],[z],12506,9656,77.2,9280,11259,82.4
E10000019,Lincolnshire,East Midlands,503,[z],776,376,48.5,451,646,69.8
E10000007,Derbyshire,East Midlands,506,[z],488,311,63.7,292,416,70.2
E06000015,Derby,East Midlands,507,[z],1415,1005,71,1088,1303,83.5
E10000018,Leicestershire,East Midlands,508,[note 19],1333,1056,79.2,994,1181,84.2
E06000016,Leicester,East Midlands,509,[z],3112,2671,85.8,2646,2920,90.6
E10000024,Nottinghamshire,East Midlands,511,[z],1126,869,77.2,785,1021,76.9
E06000018,Nottingham,East Midlands,512,[z],1608,1248,77.6,1077,1407,76.5
E06000062,West Northamptonshire,East Midlands,U6Q5Z,[z],1596,1285,80.5,1190,1453,81.9
E06000061,North Northamptonshire,East Midlands,Z9D4Z,[z],1052,835,79.4,757,912,83
E12000006,[z],East of England,[z],[z],17771,14428,81.2,14334,16989,84.4
