area_name,coverage,vaccine_code,vaccine_name
North Tyneside,96.3,MMR1,MMR1
Sunderland,96.2,MMR1,MMR1
Cumbria,95.9,MMR1,MMR1
South Tyneside,95.7,MMR1,MMR1
Derbyshire,95.5,MMR1,MMR1
County Durham,95.4,MMR1,MMR1
West Berkshire,95.3,MMR1,MMR1
Barnsley,95.2,MMR1,MMR1
Northumberland,95.1,MMR1,MMR1
Plymouth,95.1,MMR1,MMR1
East Riding of Yorkshire,95.1,MMR1,MMR1
Herefordshire,94.9,MMR1,MMR1
Hampshire,94.5,MMR1,MMR1
Rotherham,94.5,MMR1,MMR1
Wokingham,94.3,MMR1,MMR1
Worcestershire,94.3,MMR1,MMR1
Wiltshire,94.2,MMR1,MMR1
North Somerset,94.2,MMR1,MMR1
Shropshire,94.2,MMR1,MMR1
Leicestershire,94.1,MMR1,MMR1
